SH603156	2019-01-02	2021-06-30
SH603259	2019-01-02	2024-06-28
SH603986	2019-01-02	2024-06-28
SZ000408	2019-01-02	2024-06-28
SZ000553	2019-01-02	2019-12-31
SZ000661	2019-01-02	2024-06-28
SZ002032	2019-01-02	2023-06-30
SZ002120	2019-01-02	2023-12-28
SZ002179	2019-01-02	2024-06-28
SZ002271	2019-01-02	2024-06-28
SZ002311	2019-01-02	2024-06-28
SZ002773	2019-01-02	2021-12-31
SZ300142	2019-01-02	2024-06-28
SZ300296	2019-01-02	2019-12-31
SH600299	2019-07-01	2021-12-31
SH600733	2019-07-01	2020-06-30
SH601162	2019-07-01	2022-06-30
SH601298	2019-07-01	2020-12-31
SH601319	2019-07-01	2024-06-28
SH601577	2019-07-01	2021-06-30
SH603019	2019-07-01	2024-06-28
SZ002010	2019-07-01	2020-06-30
SZ002938	2019-07-01	2024-06-28
SZ002939	2019-07-01	2021-12-31
SZ002945	2019-07-01	2021-12-31
SZ300413	2019-07-01	2024-06-28
SZ300498	2019-07-01	2024-06-28
SH600183	2020-01-02	2024-06-28
SH600848	2020-01-02	2022-06-30
SH600928	2020-01-02	2020-12-31
SH600968	2020-01-02	2020-12-31
SH600989	2020-01-02	2024-06-28
SH601236	2020-01-02	2024-06-28
SH601698	2020-01-02	2024-06-28
SH603501	2020-01-02	2024-06-28
SH603899	2020-01-02	2024-06-28
SZ002607	2020-01-02	2022-12-30
SZ002916	2020-01-02	2024-06-28
SZ002958	2020-01-02	2021-06-30
SZ300347	2020-01-02	2024-06-28
SH600745	2020-07-01	2024-06-28
SH601077	2020-07-01	2021-12-31
SH601100	2020-07-01	2024-06-28
SH601658	2020-07-01	2024-06-28
SH601816	2020-07-01	2024-06-28
SH601916	2020-07-01	2024-06-28
SH603369	2020-07-01	2024-06-28
SH603658	2020-07-01	2022-06-30
SZ000066	2020-07-01	2022-12-30
SZ000708	2020-07-01	2024-06-28
SZ000860	2020-07-01	2021-12-31
